11848 : 9132 2019-10-17  3: 0:17 242 :  0:	session.exe end
 7240 : 4068 2019-10-17  3: 0:45  93 :  0:	KTS connected to 192.168.1.168:64910
11332 : 9516 2019-10-17  3: 0:45 456 :  0:	session.exe started 
11332 : 9516 2019-10-17  3: 0:45 578 :  0:	connected to 192.168.1.168:64910
11332 : 6240 2019-10-17  3: 0:48 227 :  0:	login accepted: [ admin68 ]
11332 : 6240 2019-10-17  3: 0:48 242 :  0:	access denied to subsystem [terminal] for user Admin68
11332 :12136 2019-10-17  3: 0:48 256 :  0:	session.exe end
 7240 : 4004 2019-10-17  5:54:14 780 :  0:	stopping service
 4212 : 4216 2019-10-17  5:55:57 357 :  0:	daemon.exe started
 4212 : 4452 2019-10-17  5:55:57 372 :  0:	starting service
 4212 : 4216 2019-10-17  6:24:55 944 :  0:	stopping service
 4452 : 4456 2019-10-17  6:26:40 359 :  0:	daemon.exe started
 4452 : 4196 2019-10-17  6:26:40 422 :  0:	starting service
 4452 : 4456 2019-10-17  8: 2:32 675 :  0:	stopping service
 8308 : 6252 2019-10-17  8: 2:40 163 :  0:	daemon.exe started
 8308 : 3712 2019-10-17  8: 2:40 182 :  0:	starting service
 8308 : 6252 2019-10-17  8: 4:22 800 :  0:	stopping service
 6428 : 8624 2019-10-17  8: 4:26 960 :  0:	daemon.exe started
 6428 : 3528 2019-10-17  8: 4:26 978 :  0:	starting service
 6428 : 3528 2019-10-17  8: 5:39 128 :  0:	KTS connected to 169.254.127.46:62933
 4932 :   80 2019-10-17  8: 5:41 277 :  0:	session.exe started 
 4932 :   80 2019-10-17  8: 5:41 406 :  0:	connected to 169.254.127.46:62933
 4932 :   80 2019-10-17  8: 5:42 517 :  0:	ssh initialized
 4932 :   80 2019-10-17  8: 5:43   8 :  0:	can't read login
 4932 :   80 2019-10-17  8: 5:43 337 :  0:	ssh info: WSAECONNRESET: Connection was reset by the remote host executing a close
 4932 : 4536 2019-10-17  8: 5:43 357 :  0:	session.exe end
 6428 : 3528 2019-10-17  8:13:26 786 :  0:	KTS connected to 169.254.127.46:63055
 6832 : 5272 2019-10-17  8:13:27 390 :  0:	session.exe started 
 6832 : 5272 2019-10-17  8:13:27 528 :  0:	connected to 169.254.127.46:63055
 6832 : 5272 2019-10-17  8:13:27 582 :  0:	ssh initialized
 6832 : 5272 2019-10-17  8:13:27 943 :  0:	can't read login
 6832 : 5272 2019-10-17  8:13:27 958 :  0:	ssh info: WSAECONNRESET: Connection was reset by the remote host executing a close
 6832 : 9516 2019-10-17  8:13:27 977 :  0:	session.exe end
 6428 : 8624 2019-10-17  8:15: 7 208 :  0:	stopping service
 8136 : 5896 2019-10-17  8:15:11 361 :  0:	daemon.exe started
 8136 : 8800 2019-10-17  8:15:11 380 :  0:	starting service
 8136 : 8800 2019-10-17  8:15:27 553 :  0:	KTS connected to 169.254.127.46:63096
 1616 : 4804 2019-10-17  8:15:27 865 :  0:	session.exe started 
 1616 : 4804 2019-10-17  8:15:28 204 :  0:	connected to 169.254.127.46:63096
 1616 : 4804 2019-10-17  8:15:28 239 :  0:	ssh initialized
 1616 : 4804 2019-10-17  8:15:28 601 :  0:	can't read login
 1616 : 4804 2019-10-17  8:15:28 618 :  0:	ssh info: WSAECONNRESET: Connection was reset by the remote host executing a close
 1616 : 2396 2019-10-17  8:15:28 637 :  0:	session.exe end
 8136 : 5896 2019-10-17  8:16:19 551 :  0:	stopping service
11152 : 8628 2019-10-17  8:16:23 946 :  0:	daemon.exe started
11152 : 5932 2019-10-17  8:16:23 966 :  0:	starting service
11152 : 5932 2019-10-17  8:16:32 842 :  0:	KTS connected to 169.254.127.46:63107
 3940 : 5904 2019-10-17  8:16:33 160 :  0:	session.exe started 
 3940 : 5904 2019-10-17  8:16:33 275 :  0:	connected to 169.254.127.46:63107
 3940 :10760 2019-10-17  8:16:34 826 :  0:	login refused: [ JJ ] - The user name or password is incorrect.

 3940 :10760 2019-10-17  8:16:34 845 :  0:	login refused: [ JJ ] - The user name or password is incorrect.

 3940 :10760 2019-10-17  8:16:34 863 :  0:	login refused: [ JJ ] - The user name or password is incorrect.

 3940 :10760 2019-10-17  8:16:34 880 :  0:	max login attempts
 3940 : 3456 2019-10-17  8:16:34 898 :  0:	session.exe end
